XWALK_CRSE_NUMBER_PK|SRS_SUBJ_CODE|SRS_COURSE_NUMBER|SRS_COURSE_ID|NGSS_SUBJECT|NGSS_COURSE_NUMBER|NGSS_COURSE_ID|SRS_TOPICS_IND|CONV_TOPICS_IND|CONV_TITLE|CONV_LONG_TITLE|DATA_ORIGIN|CREATED_ON_DATE
AAMW533AAMW5330|AAMW|533|AAMW533|AAMW|5330|AAMW5330|||Topog & Mon of Anc Rome|Topography and Monuments of Ancient Rome|RENUMBER|1/23/2022 8:00:56 PM
AAMW536AAMW5360|AAMW|536|AAMW536|AAMW|5360|AAMW5360|||Archaeology of Anatolia|Archaeology of Anatolia|RENUMBER|1/23/2022 8:00:56 PM
AAMW542AAMW5420|AAMW|542|AAMW542|AAMW|5420|AAMW5420|||Ancient Seafaring|Seafaring in the Ancient Greek World|RENUMBER|1/23/2022 8:00:56 PM
AAMW546AAMW5460|AAMW|546|AAMW546|AAMW|5460|AAMW5460|||Museum Internship|Museum Internship|RENUMBER|1/23/2022 8:00:56 PM
AAMW751AAMW7510|AAMW|751|AAMW751|AAMW|7510|AAMW7510|||Archaeology Excavations|Participation in Archaeological Excavations|RENUMBER|1/23/2022 8:00:56 PM
AAMW800AAMW8000|AAMW|800|AAMW800|AAMW|8000|AAMW8000|||Pedagogy|Pedagogy|RENUMBER|1/23/2022 8:00:56 PM
AAMW990AAMW9900|AAMW|990|AAMW990|AAMW|9900|AAMW9900|||Masters Thesis|Masters Thesis|RENUMBER|1/23/2022 8:00:56 PM
AAMW995AAMW9950|AAMW|995|AAMW995|AAMW|9950|AAMW9950|||Dissertation|Dissertation|RENUMBER|1/23/2022 8:00:56 PM
AAMW998AAMW9980|AAMW|998|AAMW998|AAMW|9980|AAMW9980|||Doctoral Candidacy Prep|Doctoral Candidacy Prep|RENUMBER|1/23/2022 8:00:56 PM
AAMW999AAMW9999|AAMW|999|AAMW999|AAMW|9999|AAMW9999|||Independent Study|Independent Study|RENUMBER|1/23/2022 8:00:56 PM
ACCT101ACCT1010|ACCT|101|ACCT101|ACCT|1010|ACCT1010|||||MFREP|1/23/2022 8:00:56 PM
ACCT102ACCT1020|ACCT|102|ACCT102|ACCT|1020|ACCT1020|||||MFREP|1/23/2022 8:00:56 PM
ACCT212ACCT2120|ACCT|212|ACCT212|ACCT|2120|ACCT2120|||||MFREP|1/23/2022 8:00:56 PM
